Velocidad: 20.00 km/h, Fuerza Lateral: 1234.57 N, Límite de Fricción: 9417.60 N, Estable: True, Riesgo de Vuelco: 0.21
Velocidad: 28.42 km/h, Fuerza Lateral: 2493.07 N, Límite de Fricción: 9417.60 N, Estable: True, Riesgo de Vuelco: 0.42
Velocidad: 36.84 km/h, Fuerza Lateral: 4189.32 N, Límite de Fricción: 9417.60 N, Estable: True, Riesgo de Vuelco: 0.70
Velocidad: 45.26 km/h, Fuerza Lateral: 6323.31 N, Límite de Fricción: 9417.60 N, Estable: True, Riesgo de Vuelco: 1.05
Velocidad: 53.68 km/h, Fuerza Lateral: 8895.04 N, Límite de Fricción: 9417.60 N, Estable: True, Riesgo de Vuelco: 1.48
Velocidad: 62.11 km/h, Fuerza Lateral: 11904.52 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 1.98
Velocidad: 70.53 km/h, Fuerza Lateral: 15351.73 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 2.56
Velocidad: 78.95 km/h, Fuerza Lateral: 19236.69 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 3.21
Velocidad: 87.37 km/h, Fuerza Lateral: 23559.39 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 3.93
Velocidad: 95.79 km/h, Fuerza Lateral: 28319.82 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 4.72
Velocidad: 104.21 km/h, Fuerza Lateral: 33518.01 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 5.59
Velocidad: 112.63 km/h, Fuerza Lateral: 39153.93 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 6.53
Velocidad: 121.05 km/h, Fuerza Lateral: 45227.59 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 7.54
Velocidad: 129.47 km/h, Fuerza Lateral: 51739.00 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 8.62
Velocidad: 137.89 km/h, Fuerza Lateral: 58688.14 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 9.78
Velocidad: 146.32 km/h, Fuerza Lateral: 66075.03 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 11.01
Velocidad: 154.74 km/h, Fuerza Lateral: 73899.66 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 12.32
Velocidad: 163.16 km/h, Fuerza Lateral: 82162.03 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 13.69
Velocidad: 171.58 km/h, Fuerza Lateral: 90862.15 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 15.14
Velocidad: 180.00 km/h, Fuerza Lateral: 100000.00 N, Límite de Fricción: 9417.60 N, Estable: False, Riesgo de Vuelco: 16.67
